
<<<<<<< HEAD
17.043249340679125 100
18.865378404397326 110
20.525294030155674 120
24.789553566053087 150
=======
24.48238375734528 100
33.45340596603843 110
43.90049892553292 120
83.57505834148634 150
>>>>>>> dcfd44fb7a0fee39637c9bbbae232cf75099691c
